id,temperature,absolute_humidity
1,-60,0.0055
2,-59,0.0067
3,-58,0.008
4,-57,0.0092
5,-56,0.0104
6,-55,0.0122
7,-54,0.0141
8,-53,0.0159
9,-52,0.0178
10,-51,0.02
11,-50,0.024
12,-49,0.027
13,-48,0.03
14,-47,0.034
15,-46,0.039
16,-45,0.043
17,-44,0.047
18,-43,0.054
19,-42,0.061
20,-41,0.068
21,-40,0.076
22,-39,0.086
23,-38,0.097
24,-37,0.11
25,-36,0.122
26,-35,0.137
27,-34,0.151
28,-33,0.168
29,-32,0.186
30,-31,0.21
31,-30,0.23
32,-29,0.25
33,-28,0.28
34,-27,0.31
35,-26,0.35
36,-25,0.38
37,-24,0.43
38,-23,0.47
39,-22,0.52
40,-21,0.57
41,-20,0.63
42,-19,0.69
43,-18,0.76
44,-17,0.84
45,-16,0.93
46,-15,1.01
47,-14,1.11
48,-13,1.22
49,-12,1.33
50,-11,1.45
51,-10,1.6
52,-9,1.74
53,-8,1.9
54,-7,2.1
55,-6,2.3
56,-5,2.5
57,-4,2.7
58,-3,2.9
59,-2,3.2
60,-1,3.5
61,0,3.8
62,1,4
63,2,4.3
64,3,4.7
65,4,5
66,5,5.4
67,6,5.8
68,7,6.2
69,8,6.6
70,9,7.1
71,10,7.6
72,11,8.1
73,12,8.7
74,13,9.3
75,14,9.9
76,15,10.6
77,16,11.3
78,17,12.1
79,18,12.9
80,19,13.7
81,20,14.6
82,21,15.6
83,22,16.6
84,23,17.7
85,24,18.8
86,25,20
87,26,21.3
88,27,22.6
89,28,24
90,29,25.5
91,30,27.1
92,31,28.8
93,32,30.5
94,33,32.4
95,34,34.4
96,35,36.4
97,36,38.6
98,37,40.9
99,38,43.4
100,39,46
101,40,48.7
